Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",94.468300,-118.630000,180.000000,top
"C3","4u7","C_0603_1608Metric",93.743300,-102.580000,0.000000,top
"C4","100n","C_0603_1608Metric",102.450000,-118.400000,180.000000,top
"C5","100n","C_0603_1608Metric",108.418300,-106.230000,-90.000000,top
"C6","100n","C_0603_1608Metric",106.118300,-106.205000,-90.000000,top
"C7","100n","C_0603_1608Metric",123.325000,-118.550000,-90.000000,top
"C9","10n","C_0603_1608Metric",88.950000,-118.150000,180.000000,top
"C10","1u","C_0603_1608Metric",88.968300,-115.930000,180.000000,top
"C11","1u","C_0603_1608Metric",105.418300,-116.280000,0.000000,top
"CI1","10u","C_0603_1608Metric",61.818300,-109.180000,-90.000000,top
"CI2","10u","C_0603_1608Metric",63.218300,-122.455000,-90.000000,top
"CO1","10u","C_0603_1608Metric",68.268300,-110.180000,-90.000000,top
"CO2","10u","C_0603_1608Metric",69.518300,-124.205000,-90.000000,top
"FB1","120R","L_0603_1608Metric",91.493300,-117.092500,-90.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",98.010000,-131.450000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",91.168300,-131.830000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",112.638300,-123.980000,180.000000,top
"J4","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",82.918300,-110.840000,0.000000,top
"J5","Conn_02x01","PinHeader_1x02_P2.54mm_Vertical",57.075000,-79.350000,90.000000,top
"J6","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",104.893300,-98.980000,-90.000000,top
"J9","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",99.508300,-124.980000,-90.000000,top
"J10","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",115.068300,-110.705000,180.000000,top
"J11","Conn_01x02_Pin","JST_ZH_B2B-ZR_1x02_P1.50mm_Vertical",55.718300,-99.280000,90.000000,top
"J12","Conn_02x07_Odd_Even","CONN14_3220-14_CNC",134.320000,-107.380000,-90.000000,top
"J22","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",75.018300,-127.080000,0.000000,top
"J23","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",113.318300,-99.605000,180.000000,top
"L1","4.7u","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",58.618300,-109.330000,-90.000000,top
"L2","4.7u","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",59.468300,-122.442500,-90.000000,top
"R1","4k7","R_0603_1608Metric",89.868300,-127.180000,180.000000,top
"R2","0","R_0603_1608Metric",61.300000,-105.250000,0.000000,top
"R3","4k7","R_0603_1608Metric",85.100000,-128.950000,0.000000,top
"R4","0","R_0603_1608Metric",63.193300,-118.680000,0.000000,top
"R5","4k7","R_0603_1608Metric",116.475000,-120.925000,-90.000000,top
"R6","68","R_0603_1608Metric",59.450000,-91.500000,-90.000000,top
"R7","4k7","R_0603_1608Metric",116.468300,-117.580000,180.000000,top
"R8","10k","R_0603_1608Metric",92.675000,-99.450000,180.000000,top
"R9","22","R_0603_1608Metric",124.068300,-107.280000,180.000000,top
"R10","22","R_0603_1608Metric",124.118300,-116.030000,180.000000,top
"R11","22","R_0603_1608Metric",124.218300,-110.380000,180.000000,top
"R12","22","R_0603_1608Metric",123.643300,-113.830000,180.000000,top
"R13","1M","R_0603_1608Metric",68.368300,-106.755000,90.000000,top
"R14","178k","R_0603_1608Metric",65.118300,-104.880000,180.000000,top
"R15","1M","R_0603_1608Metric",69.450000,-120.850000,90.000000,top
"R16","111k","R_0603_1608Metric",67.093300,-118.830000,0.000000,top
"R17","5k","R_0603_1608Metric",110.518300,-97.505000,90.000000,top
"R18","5k","R_0603_1608Metric",88.543300,-96.480000,0.000000,top
"R19","5k","R_0603_1608Metric",125.100000,-94.950000,90.000000,top
"R20","40k","R_0603_1608Metric",66.468300,-112.930000,0.000000,top
"R21","5k","R_0603_1608Metric",74.668300,-96.730000,90.000000,top
"R22","4k7","R_0603_1608Metric",89.800000,-109.450000,0.000000,top
"S1","TS02-66-70-BK-100-LCR-D","SW4_FSM-5P23_TEC",72.000000,-81.000000,0.000000,top
"S2","TS02-66-70-BK-100-LCR-D","SW4_FSM-5P23_TEC",88.950000,-80.850000,0.000000,top
"S3","TS02-66-70-BK-100-LCR-D","SW4_FSM-5P23_TEC",105.753400,-80.964800,0.000000,top
"S4","TS02-66-70-BK-100-LCR-D","SW4_FSM-5P23_TEC",122.500000,-81.000000,0.000000,top
"U1","STM32L452RCTx","LQFP-64_10x10mm_P0.5mm",98.125000,-110.350000,0.000000,top
"U3","TLV61220DBVR","DBV0006A_N",64.900000,-109.350000,90.000000,top
"U4","TLV61220DBVR","DBV0006A_N",66.268300,-122.180000,90.000000,top
